id,address,bedroom_nums,bathroom_nums,car_spaces,price,lat,lon,postcode,land_size_m2,price_per_m2,nearest_city,distance_to_nearest_city,avg_price_by_postcode,postcode_avg_price_per_m2
5320,"147 Lone Pine Avenue, Orange",3.0,1,1.0,412000.0,-28.8258695,153.2936425,2480.0,626.0,658.14696485623,Newcastle,191112.5563103651,1652307.9782608696,1809.103715857132
5321,"22 Anderson Road, Kings Langley",5.0,2,2.0,1802000.0,-31.0676855,150.909962,2340.0,688.0,2619.186046511628,Newcastle,42109.88159054214,1352008.4571428571,1757.5402712255006
5322,"21 Forrest Road, Lalor Park",4.0,2,1.0,1127000.0,-30.9937004,150.2481859,2380.0,620.0,1817.741935483871,Newcastle,60795.731095389,1590033.0476190476,1733.7444207455032
5323,"13 Michael Street, North Ryde",5.0,6,3.0,4480000.0,-34.7677162,149.7109417,2580.0,670.0,6686.567164179104,Wollongong,15130.412692813275,1738089.0410958903,2703.9829487096345
5324,"10 Lyne Road, Cheltenham",4.0,3,2.0,3201000.0,-30.9779379,150.24325,2380.0,746.1,4290.309609971853,Newcastle,61558.946448964074,1590033.0476190476,1733.7444207455032
5325,"13 Wilga Street, Concord West",3.0,2,3.0,3195000.0,-31.1098735,150.9110383,2340.0,600.7,5318.794739470617,Newcastle,40540.42461429117,1352008.4571428571,1757.5402712255006
5326,"127 Roseville Avenue, Roseville",3.0,1,1.0,3130000.0,-33.304121949999995,149.1174888793853,2800.0,695.5,4500.359453630482,Wollongong,44154.47211702442,1861414.6229508198,2295.159187530352
5327,"34 Yarrabin Street, Belrose",5.0,3,2.0,2842000.0,-33.7604734,150.9516073,2147.0,729.0,3898.4910836762688,Sydney,781.4017990085313,1435547.2972972973,2470.276643171795
5328,"14 Bayswater Avenue, Hurstville Grove",3.0,3,3.0,2767000.0,-33.763385,150.9232641,2147.0,670.3,4128.0023869909,Sydney,929.2885831381111,1435547.2972972973,2470.276643171795
5329,"93 Eastwood Avenue, Epping",3.0,2,2.0,2688000.0,-33.788997,151.116572,2113.0,752.5,3572.093023255814,Sydney,149.6700079300387,1659273.9130434783,3468.8539109178087
5330,"23 Rembrandt Street, Carlingford",3.0,2,2.0,2595000.0,-33.758845,151.078927,2119.0,746.0,3478.5522788203752,Sydney,290.87221154005084,1672271.4285714286,1892.528946486066
5331,"152 Francis Greenway Drive, Cherrybrook",4.0,2,2.0,2490000.0,-33.845719,151.094606,2138.0,731.5,3403.9644565960357,Sydney,136.8744619700317,2239750.0,5499.166743381342
5333,"28 Raglan Road, Miranda",4.0,2,3.0,2334000.0,-33.736483,151.213347,2085.0,696.0,3353.448275862069,Sydney,175.24166698000005,1795133.3333333333,2662.8129492581297
5334,"17 Kardella Crescent, Narwee",5.0,4,3.0,2230000.0,-33.9796721,151.0915531,2220.0,676.0,3298.816568047337,Sydney,261.56955018023774,1802551.7241379311,3716.757688930568
5335,"12 Carmarthen Street, Menai",4.0,3,2.0,2172000.0,-33.7818921,151.0738184,2121.0,677.4,3206.377325066431,Sydney,259.08247020975364,1786897.6744186047,2415.415067520994
5336,"16 Northam Drive, North Rocks",3.0,2,3.0,2160000.0,-33.7749707,151.0528653,2118.0,790.0,2734.1772151898736,Sydney,332.7575290258228,1682319.4444444445,2402.0685110616287
5337,"31 Hill Street, Wentworthville",5.0,4,6.0,2025000.0,-33.721792,151.050996,2126.0,754.0,2685.676392572944,Sydney,466.7150848000473,1568000.0,2409.9065665705652
