id,address,bedroom_nums,bathroom_nums,car_spaces,land_size,house_type,price
6,"73 Electra Parade, Harrington, NSW 2427",4,2,2,684m²,House,"$915,000"
6,"81 Rudd Road, Leumeah, NSW 2560",4,1,,,House,"$911,000"
6,"11 Hebrides Place, St Andrews, NSW 2566",3,1,1,,House,"$910,000"
6,"309 Leura Mall, Leura, NSW 2780",2,1,2,689m²,House,"$910,000"
6,"12 Collins Crescent, Narooma, NSW 2546",5,3,2,556m²,House,"$910,000"
6,"1 Woronora Avenue, Leumeah, NSW 2560",3,1,2,575m²,House,"$910,000"
6,"37 Bomaderry Crescent, Glenning Valley, NSW 2261",3,1,1,,House,"$905,000"
6,"129 Hutton Road, The Entrance North, NSW 2261",2,1,1,631m²,House,"$900,000"
6,"37 Carcoola Way, Jordan Springs, NSW 2747",3,2,2,,House,"$900,000"
6,"2/38 Alandale Avenue, Figtree, NSW 2525",2,1,1,,Duplex/semi-detached,"$875,000"
6,"1a Bent Street, Maclean, NSW 2463",5,3,2,"1,012m²",House,"$860,000"
6,"2 Marine Parade, Rocky Point, NSW 2259",3,1,2,354m²,House,"$860,000"
6,"22 Corkwood Street, Old Bar, NSW 2430",4,2,2,788.5m²,House,"$855,000"
6,"28 Chief Street, Belmont North, NSW 2280",3,1,2,645m²,House,"$851,000"
6,"11 Colley Place, Hebersham, NSW 2770",3,2,3,,House,"$850,000"
6,"2 Market Street, Morpeth, NSW 2321",2,1,2,315.6m²,House,"$845,000"
6,"23 Erebus Crescent, Tregear, NSW 2770",3,1,2,544m²,House,"$840,000"
6,"189 Kennedy Street, Armidale, NSW 2350",5,2,3,"1,771m²",House,"$837,000"
6,"33 Rymill Road, Tregear, NSW 2770",3,1,3,,House,"$835,000"
6,"41 Grey Street, Wickham, NSW 2293",3,1,,,House,"$835,000"
6,"26 Macartney Crescent, Hebersham, NSW 2770",4,1,2,860m²,House,"$810,000"
6,"15 Horizon Drive, West Ballina, NSW 2478",3,1,2,610.5m²,House,"$805,000"
7,"1/46 Avalon Avenue, Wollongbar, NSW 2477",3,2,2,307m²,Duplex/semi-detached,"$800,000"
7,"56 Alister Street, Shortland, NSW 2307",3,1,1,593m²,House,"$795,000"
7,"31 Angove Street, Rouse Hill, NSW 2155",1,1,,,Other,"$790,000"
