index,lat,lon,postcode
7902,-34.7083348,150.0093953,2579
3961,-33.900503,151.0557295,2190
20,-33.878898,151.0424475,2141
3962,-34.0013841,151.05934410430737,2226
7903,-28.8276582,153.3217684,2480
21,-33.800557,151.1005696,2112
3963,-33.7556858,150.9846989,2153
7904,-33.398131,149.598057,2795
22,-33.774151,150.73946,2747
3964,-33.912396,151.060171,2190
7905,-32.3602411,149.5341269,2852
23,-33.720011,150.8494765,2761
3965,-33.4294453,151.4387168,2260
7906,-33.7769651,150.905022,2148
24,-34.0627265,150.7523588,2567
3966,-33.6729382,151.1079757,2079
7907,-33.723637,151.1558719,2075
25,-33.7285571,150.9279767,2768
3967,-33.7607594,150.9556966,2147
7908,-33.74067,151.028601,2125
26,-33.6593814,150.8698118,2765
3968,-33.7700917,150.8892645,2148
7909,-43.5415293,172.6595682,8240
3969,-33.8160546,150.9669065,2145
27,-33.9423593,150.8151685,2179
7910,-33.7393184,151.0132233,2154
28,-34.027129,150.844265,2566
3970,-32.9502061,151.704568,2289
7911,-33.6746133,150.6097345,2777
29,-33.7628852,150.8638201,2767
3971,-33.9940378,151.1085668,2221
7912,-32.7775142,151.6540347,2322
30,-33.9628103,150.8651469,2174
3972,-33.75047,151.017449,2125
31,-33.3371341,151.5032499,2261
7913,-32.9218758,151.6271073,2285
3973,-28.332349,153.566358,2488
7914,-28.9109151,153.5014018,2478
32,-33.884463,151.191131,2037
3974,-33.998502599999995,151.06305519182962,2226
7915,-32.2417537,148.648852,2830
33,-32.933073,151.769055,2300
3975,-33.749476,151.238473,2086
7916,-33.1842113,151.4903335,2259
34,-33.8102237,150.9292129,2145
3976,-33.714844,151.045427,2126
7917,-28.8236348,153.3171197,2480
35,-33.6941443,150.9553805,2155
3977,-33.713071,151.070107,2120
7918,-35.2759987,147.741204,2652
36,-33.9484287,150.9387038,2173
3978,-33.7557228,150.9476742,2147
7919,-33.4982774,151.3439447,2257
37,-33.706087,150.8883462,2762
3979,-33.8924686,150.9400786,2166
7920,-34.4429475,150.8398193,2526
38,-32.9304681,151.7312572,2289
3980,-33.9246819,150.9059713,2170
7921,-33.2846696,151.4218576,2259
39,-33.6170545,150.907604,2765
3981,-32.7228069,152.123011,2315
7922,-31.0442194,150.9084336,2340
40,-33.8232811,150.972649,2145
3982,-33.7974035,150.78785562503109,2759
7923,-34.0929876,150.696751,2570
3983,-33.6861613,150.6116865,2777
41,-33.3869286,151.3492164,
7924,-33.822463,148.6945797,2794
3984,-33.4286365,151.3741444,2250
7925,-33.75001,151.04877,2125
42,-33.28066,151.476219,2259
3985,-28.8684949,153.5664039,2478
43,-35.1123581,147.3559452,2650
7926,-32.964671,151.605129,2284
3986,-33.4682473,151.3756621,2251
44,-34.5898756,150.8531751,2529
7927,-33.0741446,151.4557962,2265
3987,-33.4381943,151.2863058,2250
45,-28.8283748,153.6042843,2478
7928,-34.8324405,148.9174609,2582
3988,-34.8426401,150.7392718,2535
46,-33.6987128,150.8655408,2762
7929,-34.3456968,150.4954451,2575
3989,-33.9279223,150.9306416,2170
47,-34.0165544,150.7458889,2570
7930,-35.9196146,150.0719787,2537
3990,-33.7800826,150.8744959,2767
48,-34.004204,150.7552016,2557
7931,-32.096312,152.3827034,2312
3991,-33.6428865,150.2866441,2785
49,38.918037,-78.190582,
7932,-35.2659648,149.4349435,2621
3992,-28.8204361,153.5327503,2478
50,-34.0208083,150.7795161,2557
7933,-32.7031632,151.5983275,2320
3993,-30.4982211,153.0162932,2455
51,-35.1105611,147.3643151,2650
7934,-32.8532657,149.9781591,2848
3994,-33.7933312,150.7717189,2759
52,-33.7295665,150.7802666,2760
7935,-33.780032,150.825659,2770
3995,-35.3736084,150.4699346,2539
53,-33.2424881,151.4530874,2259
7936,-33.7259898,151.166011,2075
3996,-33.6861613,150.6116865,2777
54,-34.228144,150.683065,2571
7937,-33.732455,151.065217,2120
3997,-34.0784534,150.8362696,2560
55,-32.9107952,151.7281733,2298
7938,-32.9604277,151.6885616,2290
3998,-34.5602732,150.357498,2577
56,-32.9107952,151.7281733,2298
7939,-32.9028507,151.2858872,2325
3999,-33.6949027,150.6196726,2777
57,-32.6156051,149.5919383,2850
7940,-30.9528401,148.394208,2829
4000,-33.1852718,151.5579518,2259
58,-36.9297765,149.8797315,2549
7941,-33.7090879,151.0433935,2158
4001,-33.4281889,151.3653454,2250
59,-33.48331735,150.14052429999998,2790
7942,-33.736534,151.050026,2125
4002,43.4471006,-71.4727795,
60,-33.7429628,151.2872868,2099
7943,-33.645134,151.107673,2077
4003,-35.3565922,149.2253284,2620
61,-34.0358715,151.077943,2232
7944,-33.715070999999995,150.3668382116739,2782
4004,-31.8826926,152.6589786,2427
62,-33.6904855,150.9568542,2155
7945,-33.778658,150.823734,2770
4005,-33.72332955,150.3282486608456,2780
63,-33.9408255,151.2393784,2035
7946,-34.6541199,150.3100915,2578
4006,-32.823502,151.333717,2325
64,-34.0125869,150.7362818,2570
7947,-33.0656105,151.5802948,2283
4007,-33.3279531,151.5079702,2261
65,-33.835207,150.977328,2160
7948,-33.8913772,150.6014211,2752
